"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Deposits 100, then attempts to withdraw 999. Expects a failure/error response.","3770","Withdraw more than the available balance — transaction should fail","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.WithdrawTest","Customer Tests","tests.customer.WithdrawTest","testWithdrawWithInsufficientBalance"
"Verifies that an account number is generated and shown in the alert after account creation.","1981","Create a bank account for an existing customer with each supported currency","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.CreateAccountTest","Bank Manager Tests","tests.manager.CreateAccountTest","testCreateAccountForExistingCustomer"
"Selects a customer from the dropdown and clicks Login; verifies the account dashboard appears.","1849","Login with a valid customer name and verify the dashboard loads","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.CustomerLoginTest","Customer Tests","tests.customer.CustomerLoginTest","testLoginWithValidCustomer"
"Opens the deposit panel, enters a valid amount, submits, and verifies success.","2522","Deposit a valid amount and verify balance increases and success message appears","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.DepositTest","Customer Tests","tests.customer.DepositTest","testDepositValidAmount"
"Selects a customer from the dropdown and clicks Login; verifies the account dashboard appears.","1799","Login with a valid customer name and verify the dashboard loads","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.CustomerLoginTest","Customer Tests","tests.customer.CustomerLoginTest","testLoginWithValidCustomer"
"Verifies that the Add Customer form handles invalid data correctly (numbers, special chars, blanks).","1915","Attempt to add a customer with invalid input; form should reject or show validation","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.AddCustomerTest","Bank Manager Tests","tests.manager.AddCustomerTest","testAddCustomerWithInvalidData"
"Verifies that a customer can be added successfully and a confirmation alert appears.","1886","Add a new customer with valid first name, last name, and post code","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.AddCustomerTest","Bank Manager Tests","tests.manager.AddCustomerTest","testAddCustomerWithValidData"
"Asserts that the transaction table contains no <input> elements, proving it is non-editable.","3249","Transaction history table is read-only — no editable input fields present","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.TransactionTest","Customer Tests","tests.customer.TransactionTest","testTransactionHistoryIsReadOnly"
"Verifies that the Add Customer form handles invalid data correctly (numbers, special chars, blanks).","2009","Attempt to add a customer with invalid input; form should reject or show validation","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.AddCustomerTest","Bank Manager Tests","tests.manager.AddCustomerTest","testAddCustomerWithInvalidData"
"Creates a throwaway customer, deletes them, and asserts they are absent from the customer list.","2896","Add a customer, then delete them and verify removal from the list","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.DeleteCustomerTest","Bank Manager Tests","tests.manager.DeleteCustomerTest","testDeleteCustomerRemovedFromList"
"Verifies that a customer can be added successfully and a confirmation alert appears.","1911","Add a new customer with valid first name, last name, and post code","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.AddCustomerTest","Bank Manager Tests","tests.manager.AddCustomerTest","testAddCustomerWithValidData"
"","4231","Balance decreases by the withdrawn amount after a successful withdrawal","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.WithdrawTest","Customer Tests","tests.customer.WithdrawTest","testBalanceDecreasesAfterWithdrawal"
"","1660","Submit button should be enabled when the form is displayed","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.AddCustomerTest","Bank Manager Tests","tests.manager.AddCustomerTest","testSubmitButtonIsEnabled"
"","0","setUp","XYZ Bank Test Suite","2026-05-29","broken","2026-05-29","tests.manager.AddCustomerTest","Bank Manager Tests","tests.manager.AddCustomerTest","setUp"
"","2","setUp","XYZ Bank Test Suite","2026-05-29","broken","2026-05-29","tests.manager.CreateAccountTest","Bank Manager Tests","tests.manager.CreateAccountTest","setUp"
"Verifies that the Add Customer form handles invalid data correctly (numbers, special chars, blanks).","1938","Attempt to add a customer with invalid input; form should reject or show validation","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.AddCustomerTest","Bank Manager Tests","tests.manager.AddCustomerTest","testAddCustomerWithInvalidData"
"","16500","Customers list table is visible on the Customers tab","XYZ Bank Test Suite","2026-05-29","broken","2026-05-29","tests.manager.DeleteCustomerTest","Bank Manager Tests","tests.manager.DeleteCustomerTest","testCustomersListTableIsVisible"
"","3108","Balance increases by the deposited amount","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.DepositTest","Customer Tests","tests.customer.DepositTest","testBalanceIncreasesAfterDeposit"
"","1102","Customer dropdown is visible on the login page","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.CustomerLoginTest","Customer Tests","tests.customer.CustomerLoginTest","testCustomerDropdownVisible"
"Verifies that an account number is generated and shown in the alert after account creation.","2013","Create a bank account for an existing customer with each supported currency","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.CreateAccountTest","Bank Manager Tests","tests.manager.CreateAccountTest","testCreateAccountForExistingCustomer"
"","1098","Login button should be disabled before a customer is selected","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.CustomerLoginTest","Customer Tests","tests.customer.CustomerLoginTest","testLoginButtonDisabledBeforeSelection"
"","1777","Search for a non-existent customer returns no results","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.DeleteCustomerTest","Bank Manager Tests","tests.manager.DeleteCustomerTest","testSearchForDeletedCustomerReturnsEmpty"
"Deposits 1000, withdraws 500, expects success message.","3470","Withdraw a partial amount from a funded account","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.WithdrawTest","Customer Tests","tests.customer.WithdrawTest","testWithdrawValidAmount"
"","3729","Open Account form should be visible after clicking the Open Account tab","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.CreateAccountTest","Bank Manager Tests","tests.manager.CreateAccountTest","testOpenAccountFormIsVisible"
"Verifies that an account number is generated and shown in the alert after account creation.","1866","Create a bank account for an existing customer with each supported currency","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.CreateAccountTest","Bank Manager Tests","tests.manager.CreateAccountTest","testCreateAccountForExistingCustomer"
"","1887","Verify customer and currency dropdowns are selectable","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.CreateAccountTest","Bank Manager Tests","tests.manager.CreateAccountTest","testCustomerAndCurrencyDropdownsWork"
"","3367","Back button on the Transactions page returns to the customer dashboard","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.TransactionTest","Customer Tests","tests.customer.TransactionTest","testBackButtonReturnsToDashboard"
"Verifies that depositing 0 or a negative number does not produce a success message.","17941","Attempt to deposit an invalid amount (negative or zero); no success message should appear","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.DepositTest","Customer Tests","tests.customer.DepositTest","testDepositInvalidAmount"
"Opens the deposit panel, enters a valid amount, submits, and verifies success.","2650","Deposit a valid amount and verify balance increases and success message appears","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.DepositTest","Customer Tests","tests.customer.DepositTest","testDepositValidAmount"
"Selects a customer from the dropdown and clicks Login; verifies the account dashboard appears.","1857","Login with a valid customer name and verify the dashboard loads","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.CustomerLoginTest","Customer Tests","tests.customer.CustomerLoginTest","testLoginWithValidCustomer"
"Selects a customer from the dropdown and clicks Login; verifies the account dashboard appears.","1862","Login with a valid customer name and verify the dashboard loads","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.CustomerLoginTest","Customer Tests","tests.customer.CustomerLoginTest","testLoginWithValidCustomer"
"","1701","Customer list shows at least one pre-seeded customer","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.DeleteCustomerTest","Bank Manager Tests","tests.manager.DeleteCustomerTest","testPreSeededCustomersExist"
"Verifies that the Add Customer form handles invalid data correctly (numbers, special chars, blanks).","2007","Attempt to add a customer with invalid input; form should reject or show validation","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.AddCustomerTest","Bank Manager Tests","tests.manager.AddCustomerTest","testAddCustomerWithInvalidData"
"","1896","Logout from dashboard returns to home page","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.CustomerLoginTest","Customer Tests","tests.customer.CustomerLoginTest","testLogoutReturnsToHomePage"
"Verifies that the Add Customer form handles invalid data correctly (numbers, special chars, blanks).","1890","Attempt to add a customer with invalid input; form should reject or show validation","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.AddCustomerTest","Bank Manager Tests","tests.manager.AddCustomerTest","testAddCustomerWithInvalidData"
"Selects a customer from the dropdown and clicks Login; verifies the account dashboard appears.","1851","Login with a valid customer name and verify the dashboard loads","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.CustomerLoginTest","Customer Tests","tests.customer.CustomerLoginTest","testLoginWithValidCustomer"
"","3285","Transaction history page is accessible from the customer dashboard","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.TransactionTest","Customer Tests","tests.customer.TransactionTest","testTransactionHistoryPageIsAccessible"
"Opens the deposit panel, enters a valid amount, submits, and verifies success.","2515","Deposit a valid amount and verify balance increases and success message appears","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.DepositTest","Customer Tests","tests.customer.DepositTest","testDepositValidAmount"
"Verifies that depositing 0 or a negative number does not produce a success message.","17791","Attempt to deposit an invalid amount (negative or zero); no success message should appear","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.DepositTest","Customer Tests","tests.customer.DepositTest","testDepositInvalidAmount"
"","15451","Add customer form should be visible after navigating to Add Customer tab","XYZ Bank Test Suite","2026-05-29","broken","2026-05-29","tests.manager.AddCustomerTest","Bank Manager Tests","tests.manager.AddCustomerTest","testAddCustomerFormIsVisible"
"","17845","Withdraw zero amount — should not be treated as a successful transaction","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.WithdrawTest","Customer Tests","tests.customer.WithdrawTest","testWithdrawZeroAmount"
"","3620","Withdraw the full account balance","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.customer.WithdrawTest","Customer Tests","tests.customer.WithdrawTest","testWithdrawFullBalance"
"Verifies that a customer can be added successfully and a confirmation alert appears.","1919","Add a new customer with valid first name, last name, and post code","XYZ Bank Test Suite","2026-05-29","passed","2026-05-29","tests.manager.AddCustomerTest","Bank Manager Tests","tests.manager.AddCustomerTest","testAddCustomerWithValidData"
